SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle,,Date,DEMS with imperfect forecast,DROEMS,DEMS with perfect forecast,,,,,,DEMS with imperfect forecast,
19496.93336,0,769.7244787,231.0674017,10701.18315,1546.840489,,5/29/2030,18126.42121,19276.46138,18708.02511,0.031088471,,,,,18126.42121,19298.82006
22237.30754,0,689.8594808,400.6188335,9351.772194,2024.404536,,5/30/2030,21056.81258,12233.90188,21461.14765,0.018840328,,,,,21056.81258,16153.22901
3525.666075,0,4228.439442,1789.365755,9030.545089,1597.728291,,5/31/2030,5947.996499,6218.058094,8208.509008,0.275386493,,,,,5947.996499,6546.031538
10641.6381,0,2338.350402,1301.759952,9248.823133,1505.622037,,6/1/2030,11130.22387,8842.129495,14368.71226,0.225384734,,,,,11130.22387,8329.89948
64238.67113,0,-9520.984804,3161.83813,7955.342356,1591.776525,,6/2/2030,53126.61786,53672.64468,56798.06239,0.064640313,,,,,53126.61786,53847.93175
19162.79947,0,-20299.54992,9907.685934,3724.620503,1173.549316,,6/3/2030,-1881.674556,13227.82703,12621.56937,1.14908404,,,,,-1881.674556,12349.81623
50837.57337,0,13633.58296,6493.988492,10364.37797,-234.1161071,,6/4/2030,62398.28073,58987.13563,63862.95653,0.022934669,,,,,62398.28073,59589.24828
90046.03657,0,-56127.2016,14722.6113,3454.896629,1999.64534,,6/5/2030,33227.85564,53123.38449,55438.84247,0.400639441,,,,,33227.85564,53777.19896
30358.59011,0,-18003.05829,6320.741238,3930.390405,-316.1989471,,6/6/2030,11569.45375,21418.69212,22728.21413,0.49096512,,,,,11569.45375,20784.36137
609.8570358,0,1177.726863,3285.581521,7664.749223,-153.517055,,6/7/2030,254.6340544,386.6782104,615.8290683,0.586518293,,,,,254.6340544,809.3217309
14846.09554,0,10366.6957,3509.351174,7442.578524,1114.653706,,6/8/2030,23724.27554,17868.71266,34571.85352,0.31376906,,,,,23724.27554,17150.2786
2071.497443,0,2428.252062,2729.768766,8364.343209,1049.121268,,6/9/2030,2826.880863,2324.764178,2759.028274,-0.02459293,,,,,2826.880863,2463.264023
77947.56733,0,-41542.2759,20972.78497,5129.867064,1373.849795,,6/10/2030,35379.31802,38711.30916,45774.98703,0.227103702,,,,,35379.31802,39295.18911
83097.88152,0,-14782.22709,3373.682765,6955.606418,276.2155592,,6/11/2030,66924.53315,46872.73829,69827.07126,0.041567519,,,,,66924.53315,58122.55934
4129.603641,0,-6019.943274,744.1735662,2782.457144,908.727171,,6/12/2030,-2446.831062,593.1079754,942.3050119,3.596644431,,,,,-2446.831062,428.9346785
