SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle,,
56471.88571,0,-4536.490214,1447.744985,4106.96744,1415.929115,,51114.002
49921.58975,0,-7890.88245,2484.002286,4514.806871,815.9581499,,41127.74592
87253.66755,0,-52607.58719,6681.332958,1995.587621,1051.555374,,34246.96283
190444.0479,0,-1120.128907,17.66266404,3813.320736,-358.6297498,,188561.2548
11742.39914,0,3710.324429,627.1895702,6659.705321,667.3669481,,14120.7825
86966.29197,0,30167.28705,6964.596161,4899.978121,2284.143195,,116153.5834
70917.5712,0,54239.59886,15806.33192,4374.087591,1300.666329,,124282.3525
71537.55291,0,-29352.63171,12566.13086,4230.300266,1010.274554,,41338.86114
38942.04198,0,139.602369,513.020306,7084.970398,935.6795397,,37664.65027
14482.8508,0,13634.5256,2014.461175,5125.911845,2582.092668,,27092.19404
29723.52471,0,-15221.67934,3624.497445,3124.115673,1471.466523,,13877.02224
62918.5772,0,842.4945877,2294.74977,6366.280983,323.9839582,,62487.81559
206632.9654,0,-23531.06967,12247.90023,4018.393907,2208.726311,,182298.217
33380.40926,0,22.87186952,341.1469853,6087.185379,856.7894463,,32185.84405
24937.88466,0,24945.75906,8404.551745,4503.48837,2072.654946,,48982.94604
2189.815003,0,8375.947767,58604.60529,4032.757886,1158.185886,,9759.211192
78073.75745,0,16674.77675,13670.59464,4286.359756,889.5728258,,93891.26224
59640.5961,0,-9064.526381,2197.519747,4132.769025,1046.061001,,49749.51591
77226.37333,0,-2536.311402,2484.531126,3441.361937,962.8481344,,74001.78954
71373.61198,0,-90516.64083,51535.54907,2972.742024,559.6201607,,-19737.57726
6937.201387,0,4768.919514,5385.91837,4926.647332,285.8826826,,10720.79143
35936.70563,0,-13084.05082,691.9001834,3702.995688,1454.985991,,22112.05567
17010.43423,0,30232.70022,6432.608065,5110.428103,732.768709,,46221.04883
26757.03913,0,9001.366238,491.8469154,5356.196454,1583.546921,,34687.16607
121713.0882,0,-50159.76342,10554.55618,2552.034197,1742.966297,,71042.91794
100611.3158,0,20503.18403,2012.396807,4993.147168,59.86397365,,120115.8704
93445.2627,0,20201.34682,2683.72103,4915.17842,1541.224461,,112663.5738
46920.82142,0,47030.36411,13375.76258,3891.267811,1504.672393,,93172.93196
90977.89707,0,7479.304606,1803.61611,5866.268858,890.3793081,,97283.9479
4181.752949,0,-2153.806252,981.1023808,5365.860884,2106.197327,,954.7745199
29743.98453,0,-6027.254916,2877.148776,3844.808109,1813.613166,,22947.76799
37308.0477,0,13186.8361,4644.535506,4415.685192,887.7906327,,49611.74676
255.2538591,0,-9.44E-16,0,3735.094996,1247.554537,,-491.7651401
47789.69998,0,-28163.90396,2828.232459,2469.579346,833.9540278,,19131.88015
155403.4985,0,-93285.38605,24571.87115,1545.841101,53.31479919,,61808.94428
289.0746058,0,2934.762472,3540.925031,4728.264437,-518.907084,,2278.184191
51889.59814,0,-26009.96425,3711.660815,4062.510553,1466.92856,,25067.13178
64525.53969,0,-16615.7932,2152.110071,3801.121062,1060.07807,,47149.52227
126689.7172,0,-97369.48377,22804.55442,2762.802326,903.4545354,,28767.67291
41565.11557,0,40905.89757,11165.59036,4626.952203,256.4754949,,81545.62269
35855.20424,0,46251.21564,9009.208115,3748.539689,1436.163176,,81356.71194
769.3687668,0,5466.833874,53353.11011,3739.27769,889.7406772,,5488.347103
2229.968928,0,8941.761292,297.5538468,3838.350314,890.3759363,,10404.06016
24467.28986,0,308.6554246,768.5611592,4688.752876,959.9544814,,23838.19471
151433.3959,0,-9643.523016,864.1605138,2758.430417,1509.933943,,141238.1868
103134.123,0,35465.37809,22460.8258,5076.537695,283.7177985,,137584.1936
94463.03658,0,19440.89728,1476.179574,4993.787009,1775.473218,,112905.1765
9919.735062,0,260.0857931,70.52956704,4466.768425,1734.298086,,9286.46717
13343.69248,0,41245.37936,13776.70329,3661.308258,1405.095313,,53856.81018
153975.2841,0,-371.5542149,27.74053347,4650.26287,891.9061551,,152673.6773
106139.3979,0,-15793.56421,3478.412816,4403.115325,1541.913656,,89465.2106
45414.16331,0,7057.722554,646.862256,4984.717205,1390.891399,,51474.94243
